customer_id,age,tenure_months,customer_segment,historical_orders,historical_revenue,avg_order_value,days_since_last_purchase,website_visits,email_opens,email_clicks,previous_campaign_response,treatment_received,discount_percentage,purchase,purchase_value,discount_cost,net_revenue,true_baseline_purchase_probability,true_treatment_purchase_probability,true_ite,true_treatment_probability
1,39,84,premium,4,145.16,44.62,70,7,10,2,0,0,0.0,1,74.12,0.0,74.12,0.1359628358,0.1359628358,0.0,0.1993597837
2,25,77,premium,10,850.45,87.01,34,7,7,1,1,1,0.15,1,145.59,21.84,123.75,0.257064328,0.3923102528,0.1352459248,0.5170327618
3,44,18,standard,3,453.4,169.55,47,4,5,0,0,0,0.0,0,0.0,0.0,0.0,0.10765212,0.10765212,0.0,0.250559743
4,46,16,standard,3,226.49,72.36,56,10,2,1,0,1,0.05,0,0.0,0.0,0.0,0.0506242358,0.0674829934,0.0168587576,0.1619482448
5,18,60,standard,3,240.26,76.42,13,6,4,2,0,1,0.1,1,73.01,7.3,65.71,0.2133694876,0.3116324497,0.0982629622,0.3866601234
6,22,33,budget,2,137.62,62.86,33,4,5,1,0,0,0.0,0,0.0,0.0,0.0,0.0313903943,0.0313903943,0.0,0.1283729927
7,37,36,standard,8,929.9,103.2,43,16,15,2,1,0,0.0,1,119.52,0.0,119.52,0.2543446835,0.2543446835,0.0,0.5074701105
8,33,19,premium,8,1309.48,211.62,5,16,14,2,1,1,0.2,1,353.68,70.74,282.94,0.3627057625,0.6660330739,0.3033273114,0.7338840394
9,36,33,budget,2,60.88,31.61,24,3,2,0,0,0,0.0,0,0.0,0.0,0.0,0.1491084355,0.1491084355,0.0,0.2420158817
10,27,7,premium,5,636.54,126.37,10,5,10,1,1,1,0.05,1,153.99,7.7,146.29,0.2624550626,0.3153771868,0.0529221241,0.6035906011
11,46,49,standard,6,367.69,64.61,26,10,7,1,0,0,0.0,0,0.0,0.0,0.0,0.2535568779,0.2535568779,0.0,0.3650152611
12,45,14,standard,1,76.08,70.93,52,8,9,0,0,0,0.0,0,0.0,0.0,0.0,0.0499233997,0.0499233997,0.0,0.1373512908
13,37,8,premium,4,763.33,134.26,10,12,10,1,0,1,0.15,1,100.26,15.04,85.22,0.2830972592,0.4662234935,0.1831262343,0.578677384
14,48,10,standard,0,0.0,45.21,63,10,6,1,0,0,0.0,0,0.0,0.0,0.0,0.0735781354,0.0735781354,0.0,0.1446843562
15,41,17,standard,3,208.77,75.22,57,10,3,1,0,0,0.0,0,0.0,0.0,0.0,0.0852848093,0.0852848093,0.0,0.2169755763
16,27,25,premium,5,1270.01,290.97,10,11,3,1,1,1,0.2,0,0.0,0.0,0.0,0.3224086067,0.6176275758,0.2952189691,0.70513747
17,40,40,premium,6,576.23,83.76,26,10,10,1,1,1,0.2,0,0.0,0.0,0.0,0.3306115999,0.5948370913,0.2642254914,0.5405206808
18,25,8,standard,4,297.56,66.3,45,8,7,0,1,1,0.05,0,0.0,0.0,0.0,0.0676189708,0.0965469991,0.0289280283,0.2829410675
19,46,60,standard,3,243.13,82.21,10,5,4,0,0,0,0.0,0,0.0,0.0,0.0,0.17994139,0.17994139,0.0,0.2729479184
20,35,15,budget,4,121.65,30.03,59,1,5,1,1,0,0.0,0,0.0,0.0,0.0,0.0690311764,0.0690311764,0.0,0.1788795436
21,34,31,premium,8,876.51,103.28,32,10,8,2,0,0,0.0,0,0.0,0.0,0.0,0.186483446,0.186483446,0.0,0.4804069557
22,29,100,standard,3,221.67,84.28,10,12,4,0,0,0,0.0,1,85.74,0.0,85.74,0.3210616006,0.3210616006,0.0,0.3730763829
23,49,15,premium,4,315.62,64.34,34,8,4,1,1,0,0.0,0,0.0,0.0,0.0,0.1148361263,0.1148361263,0.0,0.3177140486
24,34,15,standard,6,331.67,60.77,86,9,7,1,0,1,0.05,0,0.0,0.0,0.0,0.035962889,0.0496766042,0.0137137152,0.1518596362
25,31,52,premium,4,665.91,147.03,31,11,10,2,0,0,0.0,0,0.0,0.0,0.0,0.1777852843,0.1777852843,0.0,0.4019965127
26,32,58,standard,6,518.51,106.15,26,5,5,1,0,1,0.1,1,164.34,16.43,147.91,0.3205814967,0.4094660044,0.0888845078,0.4520140132
27,42,18,vip,13,1447.18,121.88,70,12,12,1,1,1,0.2,0,0.0,0.0,0.0,0.3334756337,0.5183536048,0.1848779711,0.6844779948
28,40,13,standard,6,407.76,63.41,56,5,8,2,0,0,0.0,0,0.0,0.0,0.0,0.070938033,0.070938033,0.0,0.2227554343
29,41,6,standard,6,332.92,65.37,60,3,4,1,0,0,0.0,0,0.0,0.0,0.0,0.0791928287,0.0791928287,0.0,0.2283442339
30,41,5,budget,1,54.31,64.25,61,4,4,1,0,0,0.0,0,0.0,0.0,0.0,0.0375395814,0.0375395814,0.0,0.1077134066
31,60,20,standard,3,200.17,69.68,6,6,4,0,0,0,0.0,0,0.0,0.0,0.0,0.2061851707,0.2061851707,0.0,0.310260986
32,32,2,premium,7,897.65,117.47,13,13,9,1,0,0,0.0,0,0.0,0.0,0.0,0.1879668739,0.1879668739,0.0,0.5632276266
33,30,31,premium,6,307.6,59.96,22,12,7,2,0,0,0.0,0,0.0,0.0,0.0,0.169791351,0.169791351,0.0,0.4153737555
34,27,42,budget,2,204.25,103.78,32,4,7,0,0,0,0.0,1,86.07,0.0,86.07,0.1201642484,0.1201642484,0.0,0.2317586084
35,43,10,standard,1,55.56,51.12,41,7,5,1,0,0,0.0,0,0.0,0.0,0.0,0.1036312131,0.1036312131,0.0,0.2172916349
